,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
24,Noah Allen,us USA,DFMF,Inter Miami,17,2004,8,3,324,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches,043f389a
25,Thiago Almada,ar ARG,MFFW,Atlanta Utd,20,2001,29,25,2372,26.4,6,7,6,0,0,4,1,0.23,0.27,0.49,0.23,0.49,6.0,6.0,7.6,13.6,0.23,0.29,0.52,0.23,0.52,Matches,27f33438
26,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36,1985,4,4,331,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches,8449bfda
27,Jozy Altidore,us USA,FWMF,New England,32,1989,17,4,597,6.6,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,1.7,1.7,0.3,2.0,0.25,0.04,0.30,0.25,0.30,Matches,8db8ad1e
28,Efrain Alvarez,mx MEX,MFFW,LA Galaxy,19,2002,28,12,1393,15.5,3,5,3,0,0,2,0,0.19,0.32,0.52,0.19,0.52,4.2,4.2,4.8,9.1,0.27,0.31,0.59,0.27,0.59,Matches,3cd08ab7
29,Luis Amarilla,py PAR,FW,Minnesota Utd,26,1995,33,27,2349,26.1,9,4,9,0,0,3,0,0.34,0.15,0.50,0.34,0.50,9.0,9.0,3.5,12.5,0.34,0.13,0.48,0.34,0.48,Matches,fa66adb6
30,Frankie Amaya,us USA,MF,NY Red Bulls,21,2000,24,23,1976,22.0,1,3,1,0,0,5,1,0.05,0.14,0.18,0.05,0.18,0.5,0.5,1.4,2.0,0.02,0.07,0.09,0.02,0.09,Matches,2e8bd00c
31,Mikey Ambrose,us USA,DF,Atlanta Utd,28,1993,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13,Matches,f649d6aa
32,Malte Amundsen,dk DEN,DF,NYCFC,23,1998,27,23,2094,23.3,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,2.8,3.5,0.03,0.12,0.15,0.03,0.15,Matches,83b6e15d
33,Max Anchor,ca CAN,GK,Vancouver,17,2004,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d6aa8848
